,Team,Name,Level,Pos,Yrs,Cost,Note,Options,FangraphsId,EspnId
151,Cheating Raiders,Drew Thrope,AA,SP,U,$-,,3.0,,
156,West Coast Spartans,Adael Amador,AA,SS,U,$-,,3.0,,
161,Structure Fire,JJ Wetherholt,AA,2B,9,$1.00,,,,
162,Ryno World,Druw Jones Jr.,AA,OF,9,$1.00,,,,
168,Young Bucks,Wander Franco ©,Cut,SS,7,$2.55,,,,
171,Country Strong,Munetaka Murakami,AA,3B,6,$1.00,,,,
172,Structure Fire,Asa Lacy ©,Cut,SP,5,$1.21,,,,
181,Structure Fire,Evan White ©,Cut,1B,3,$1.00,,,,
188,Orlando Renegades,Dylan Crews@,MLB,OF,3,$1.00,@,3.0,,
197,Springfield Zephyrs,Brendan McKay ©,Cut,SP,2,$1.00,,,,
201,Structure Fire,Spencer Howard ©,Cut,SP,2,$1.95,,,,
204,West Coast Spartans,Jung-Hoo Lee,MLB,OF,2,$1.00,,,,
205,Young Bucks,Miguel Andujar ©,Cut,OF,2,$1.00,,,,
222,Country Strong,Jacob DeGrom,MLB,SP,2,$1.00,,,,
227,Country Strong,Christopher Sanchez,MLB,SP,2,$1.50,,,,
242,Bayou Shooters,Logan T. Allen,MLB,SP,2,$1.00,@,,,
250,Country Strong,Colt Emerson,AA,SS,11,$1.00,,,,
251,FA,Xander Boagarts,MLB,SS,1,$1.00,,,,
260,FA,Fransisco Lindor,MLB,SS,1,$1.00,,,,
265,FA,Javy Baez,MLB,SS,1,$1.00,,,,
268,FA,Nathan Eovaldi,MLB,SP,1,$1.00,,,,
289,FA,Emmett Sheehan,MLB,SP,1,$1.00,,,,
296,FA,Luis Patiño,MLB,SP,1,$1.00,,,,
307,Midtown Jaguars,Bo Bichette Jr.,MLB,SS,1,60%,²,,,
308,Springfield Zephyrs,Ken Waldichuck ©,Cut,SP,1,$1.00,,,,
314,Structure Fire,Nick Castellanos,MLB,OF,1,$2.60,,,,
324,West Coast Spartans,Matt Mclain,MLB,2B,1,$6.10,,,,
332,Springfield Zephyrs,Nestor Cortes,MLB,SP,1,$1.50,,,,
347,Orlando Renegades,Nomar Mazara ©,Cut,OF,1,$2.00,,,,
354,Ryno World,Michael Harris,MLB,OF,1,$1.00,@,,,
366,FA,Kevin Parada,MLB,C,1,$1.00,,,,
374,FA,JT Realmuto,MLB,C,1,$1.00,,,,
386,FA,Jaimer Candelario,MLB,3B,1,$1.00,,,,
392,FA,Brandon NImmo,MLB,OF,1,$1.00,,,,
395,FA,Michael Stanton,MLB,OF,1,$1.00,,,,
400,FA,Lourdes Gurriel Jr.,MLB,OF,1,$1.00,,,,
410,FA,Matthew Boyd,MLB,SP,1,$1.00,,,,
414,FA,Cristopher Morel,MLB,OF,1,$1.00,,,,
421,FA,Khalil Watson,MLB,2B,1,$1.00,,,,
423,Dip City Thunder,Hayden Wesneski ©,Cut,SP,1,$1.50,,,,
433,Detroit Nittany Tide,Mackenzie Gore,MLB,SP,1,$1.00,@,,,
446,Country Strong,Nathaniel Lowe,MLB,1B,1,60%,²,,,
463,FA,Franklin Barreto ©,MLB,2B,1,$1.00,,,,
494,FA,Huascar Ynoa ©,MLB,SP,1,$1.00,,,,
504,FA,Will Smith (RP),MLB,RP,1,$1.00,,,,
505,FA,Trevor Megill,MLB,RP,1,$1.00,,,,
536,FA,Jeffrey Springs2,MLB,SP,1,$1.00,,,,
537,FA,Seranthony Dongmingez,MLB,RP,1,$1.00,,,,
566,FA,Emmanual Clase,MLB,RP,1,$1.00,,,,
569,FA,Pete Fairbanks,MLB,RP,1,$1.00,,,,
582,FA,Jon Loisiaga,MLB,RP,1,$1.00,,,,
590,West Coast Spartans,Yanier Cano,AAA,RP,0,AAA opt,,,,
593,West Coast Spartans,Graham Ashcroft,AAA,SP,0,AAA opt,,,,
607,Midtown Jaguars,Mikael Garcia,AAA,3B,0,AAA opt,,,,
611,Orlando Renegades,Ryan Pressley,AAA,RP,0,AAA opt,,,,
628,Detroit Nittany Tide,James MacArthur,AAA,RP,0,AAA opt,,,,
