,Team,Name,Level,Pos,Yrs,Cost,Note,Options,FangraphsId,EspnId
103,Country Strong,Jackson Holliday,MLB,2B,9,$1.15,,,31781,5080633
104,Young Bucks,Jasson Dominguez,MLB,OF,9,$2.00,,,28080,42401
105,Ryno World,Zac Veen,AA,OF,8,$1.00,,,sa3014516,4717903
106,Country Strong,CJ Abrams,MLB,SS,8,$1.00,,,25768,42402
107,Structure Fire,Marcelo Mayer,AA,SS,8,$1.00,,,sa3017114,
108,Bayou Shooters,James Wood,AA,OF,8,$1.00,,,29518,4918256
109,Structure Fire,Anthony Volpe,MLB,SS,7,$2.50,,,27647,42547
110,Detroit Nittany Tide,Spencer Torkelson,MLB,1B,7,$1.50,,,27465,4424286
111,Country Strong,Jack Leiter,AA,SP,6,$1.00,,,30146,4622181
112,West Coast Spartans,Max Meyer,AA,SP,4,$1.70,,,27474,4345164
113,Country Strong,Yoshinobu Yamamoto,MLB,SP,4,$1.00,,,33825,4872587
114,Structure Fire,Dylan Carlson,AAA,OF,4,$2.15,,,20126,39226
115,West Coast Spartans,Aaron Ashby,MLB,SP,4,$1.25,,,23550,41325
116,Ryno World,Casey Mize,MLB,SP,4,$1.00,,,20492,41167
117,Orlando Renegades,Ezequiel Tovar,MLB,SS,4,$1.05,,,24064,4905919
118,Structure Fire,Jesus Luzardo,MLB,SP,3,$2.00,,,19959,39667
119,Country Strong,Felix Bautista,MLB,RP,3,$1.00,@,3.0,20666,4905859
120,Structure Fire,Alex Kirilloff,AAA,1B,3,$1.00,,,20325,40636
121,Country Strong,Sandy Alcantara,MLB,SP,3,$1.05,,,18684,35241
122,Country Strong,Fernando Tatis Jr.,MLB,OF,3,$1.00,,,19709,35983
123,Country Strong,Luis Garcia,AAA,SP,3,$1.00,@,3.0,6984,33089
124,Country Strong,Luis Garcia,AAA,SP,3,$1.00,@,3.0,20391,40459
125,Country Strong,Luis Garcia,AAA,SP,3,$1.00,@,3.0,23735,4684365
126,Midtown Jaguars,Luis Robert,MLB,OF,2,$1.00,,,20043,39631
127,Ryno World,Joey Bart,MLB,C,2,$1.00,,,21524,41168
128,Orlando Renegades,Trevor Bauer,AA,SP,2,$3.31,,,12703,32014
129,Orlando Renegades,Ryan Pepiot,AAA,SP,2,$1.00,@,,26221,4208281
130,Orlando Renegades,Bobby Miller,AAA,SP,2,$1.00,@,,27483,4326703
131,Orlando Renegades,Gerrit Cole,MLB,SP,2,$2.20,,,13125,32081
132,Springfield Zephyrs,Logan O'Hoppe,MLB,C,2,$1.00,@,,24729,42047
133,Springfield Zephyrs,Reese Olson,MLB,SP,2,$1.00,,,24968,4734319
134,Springfield Zephyrs,Austin Wells,AAA,C,2,$1.00,@,,27562,4683349
135,Springfield Zephyrs,Zach Neto,AAA,SS,2,$1.00,@,,31347,4666100
136,Springfield Zephyrs,Edouard Julien,AAA,2B,2,$1.00,@,,27534,3985190
137,Detroit Nittany Tide,Daulton Varsho,MLB,OF,2,$2.00,,,19918,40963
138,West Coast Spartans,Eloy Jimenez,MLB,OF,2,$1.00,,,17484,33867
139,Cheating Raiders,Tanner Bibee,MLB,SP,2,$1.00,@,,30134,4345278
140,Detroit Nittany Tide,Austin Martin,AAA,3B,2,$1.00,@,,27462,4297998
141,West Coast Spartans,Evan Carter,MLB,OF,2,$1.00,@,,27790,
142,West Coast Spartans,Sal Frelick,MLB,OF,2,$1.00,@,,29622,4417795
143,Detroit Nittany Tide,Paul Skenes,MLB,SP,2,$1.00,@,,33677,4719507
144,Detroit Nittany Tide,Chase Silseth,MLB,SP,2,$1.00,@,,30074,4413990
145,Detroit Nittany Tide,Mickey Moniak,MLB,OF,2,$1.00,@,,19956,36181
146,Detroit Nittany Tide,Josh Lowe,MLB,OF,2,$1.00,@,,19953,40557
147,Detroit Nittany Tide,Brendan Rodgers,MLB,2B,2,$1.00,@,,17907,35073
148,Young Bucks,Frankie Montas,MLB,SP,2,$1.00,@,,14309,33249
149,Cheating Raiders,Manny Machado,MLB,3B,2,$7.00,,,11493,31097
150,Young Bucks,Ke'Bryan Hayes,MLB,3B,2,$1.50,²,,18577,35020
151,Cheating Raiders,Walker Buehler,MLB,SP,2,$1.69,,,19374,39251
152,Young Bucks,Cole Ragans,MLB,SP,2,$5.45,,,21846,41054
153,Detroit Nittany Tide,Yainer Diaz,MLB,C,2,$2.00,,,23003,4781491
154,Detroit Nittany Tide,Zack Gelof,MLB,2B,2,$3.25,,,29766,4414531
155,Country Strong,Nolan Gorman,AAA,2B,2,$1.00,@,,22263,41174
156,Country Strong,Christian Encarnacion-Strand,MLB,1B,2,$1.00,@,,30011,5012106
157,Country Strong,Nolan Jones,AAA,OF,2,$4.50,,,20529,37340
158,Country Strong,Gunnar Henderson,MLB,SS,2,$1.00,@,,26289,42507
159,Country Strong,Shota Imanaga,MLB,SP,2,$2.35,,,33829,5134630
160,Young Bucks,Kyle Harrison,AAA,SP,2,$1.00,@,,27758,4683375
161,Cheating Raiders,Jarred Kelenic,AAA,OF,2,$1.00,@,,22558,41150
162,West Coast Spartans,Devin Williams,MLB,RP,2,$2.30,,,15816,33224
163,Dip City Thunder,Louie Varland,MLB,SP,2,$1.00,,,27691,4917888
164,Structure Fire,Francisco Alvarez,MLB,C,2,$1.00,@,,26121,41253
165,Structure Fire,Elly De La Cruz,MLB,3B,2,$1.00,@,,26668,4917694
166,Bayou Shooters,Ryne Nelson,MLB,SP,2,$1.00,@,,26253,4916269
167,Structure Fire,James Outman,MLB,OF,2,$2.70,,,24770,41802
168,Structure Fire,Jo Adell,AAA,OF,2,$1.00,@,,20220,40854
169,Structure Fire,DL Hall,AAA,SP,2,$1.00,@,,22207,41018
170,Bayou Shooters,Andres Gimenez,MLB,2B,2,$6.00,,,19950,37729
171,Bayou Shooters,Brady Singer,MLB,SP,2,$3.00,,,25377,41172
172,Bayou Shooters,Edwin Diaz,MLB,RP,2,$1.00,@,,14710,35394
173,Dip City Thunder,Triston Casas,MLB,1B,2,$1.00,@,,22514,41180
174,Bayou Shooters,Jackson Merrill,MLB,SS,2,$1.00,@,,29490,4872691
175,Dip City Thunder,Mason Miller,MLB,RP,2,$1.00,,,31757,4730225
176,Bayou Shooters,Oneil Cruz,MLB,SS,2,$1.00,@,,21711,39712
177,Dip City Thunder,Royce Lewis,MLB,3B,2,$1.00,@,,20437,40635
178,West Coast Spartans,Andrew Painter,AA,SP,11,$1.05,,,sa3017880,4872683
179,Cheating Raiders,Nick Kurtz,AA,1B,11,$1.13,,,sa3025385,4966637
180,FA,Willy Adames,MLB,SS,1,$1.00,,,15986,33675
181,FA,Trevor Story,MLB,SS,1,$1.00,,,12564,32150
182,FA,Trea Turner,MLB,SS,1,$1.00,,,16252,33710
183,FA,Thairo Estrada,MLB,SS,1,$1.00,,,16426,36485
184,FA,Josh Smith,MLB,SS,1,$1.00,,,10946,34719
185,FA,Josh Smith,MLB,SS,1,$1.00,,,26396,42884
186,FA,Carlos Correa,MLB,SS,1,$1.00,,,14162,32653
187,FA,Dansby Swanson,MLB,SS,1,$1.00,,,18314,34895
188,FA,Nick Gonzales,MLB,SS,1,$1.00,,,27490,4311634
189,FA,Noah Syndergaard,MLB,SP,1,$1.00,,,11762,31730
190,FA,Ha-Seong Kim,MLB,SS,1,$1.00,,,27506,4089862
191,FA,Jose Caballero,MLB,SS,1,$1.00,,,23401,42135
192,FA,J.P. Crawford,MLB,SS,1,$1.00,,,15491,33210
193,FA,Nick Pivetta,MLB,SP,1,$1.00,,,15454,36071
194,FA,Zach Eflin,MLB,SP,1,$1.00,,,13774,32804
195,FA,Brice Turang,MLB,SS,1,$1.00,,,22186,41179
196,FA,Seth Lugo,MLB,SP,1,$1.00,,,12447,34873
197,FA,Zack Wheeler,MLB,SP,1,$1.00,,,10310,31267
198,FA,Zack Littell,MLB,SP,1,$1.00,,,15823,36052
199,Midtown Jaguars,Ryan McMahon,MLB,3B,1,80%,³,,15112,33247
200,FA,Robbie Ray,MLB,SP,1,$1.00,,,11486,32175
201,FA,Ronel Blanco,MLB,SP,1,$1.00,,,19407,41829
202,FA,Sean Manaea,MLB,SP,1,$1.00,,,15873,33244
203,FA,Shane Bieber,MLB,SP,1,$1.00,,,19427,40912
204,FA,Amed Rosario,MLB,SS,1,$1.00,,,15518,33215
205,FA,Sonny Gray,MLB,SP,1,$1.00,,,12768,32082
206,FA,Spencer Arrighetti,MLB,SP,1,$1.00,,,29921,
207,FA,Spencer Strider,MLB,SP,1,$1.00,,,27498,4307825
208,FA,Tyler Glasnow,MLB,SP,1,$1.00,,,14374,33190
209,FA,Tyler Wells,MLB,SP,1,$1.00,,,20000,4717904
210,FA,Yu Darvish,MLB,SP,1,$1.00,,,13074,32055
211,FA,Reynaldo Lopez,MLB,SP,1,$1.00,,,16400,33860
212,FA,Brent Honeywell,MLB,SP,1,$1.00,,,16466,33838
213,FA,Drey Jameson,MLB,SP,1,$1.00,,,26260,4415753
214,FA,Ranger Suarez,MLB,SP,1,$1.00,,,17277,39817
215,FA,Patrick Corbin,MLB,SP,1,$1.00,,,9323,31313
216,FA,Pablo Lopez,MLB,SP,1,$1.00,,,17085,39671
217,FA,Graham Ashcraft,MLB,SP,1,$1.00,,,27552,4084179
218,FA,Kumar Rocker,MLB,SP,1,$1.00,,,31843,4414525
219,FA,Kyle Hurt,MLB,SP,1,$1.00,,,27514,
220,FA,Quinn Priester,MLB,SP,1,$1.00,,,25977,42449
221,FA,Sixto Sanchez,MLB,SP,1,$1.00,,,19680,36186
222,FA,Zac Gallen,MLB,SP,1,$1.00,,,19291,39910
223,FA,Wilmer Flores,MLB,SP,1,$1.00,,,5827,30627
224,FA,Wilmer Flores,MLB,SP,1,$1.00,,,sa3015223,5123583
225,FA,Max Fried,MLB,SP,1,$1.00,,,13743,32685
226,FA,Yusei Kikuchi,MLB,SP,1,$1.00,,,20633,41415
227,FA,Dylan Moore,MLB,SS/OF/3B/2B,1,$1.00,,,18042,40593
228,Bayou Shooters,Vladimir Guerrero Jr.,MLB,1B,1,80%,³,,19611,35002
229,Midtown Jaguars,Kyle Tucker,MLB,OF,1,60%,²,,18345,34967
230,Springfield Zephyrs,Gabriel Moreno,AA,C,1,$1.00,@,,22664,42464
231,Springfield Zephyrs,Matt Manning,AA,SP,1,$1.00,@,,20369,40920
232,Structure Fire,Tanner Houck,MLB,SP,1,40%,¹,,19879,41009
233,Structure Fire,Pete Alonso,MLB,1B,1,$11.00,,,19251,37498
234,Structure Fire,Ian Happ,MLB,OF,1,$4.05,,,17919,34945
235,Structure Fire,Andres Munoz,MLB,RP,1,$1.15,,,20373,40939
236,Structure Fire,Luis Arraez,MLB,2B,1,$1.00,,,18568,39572
237,Structure Fire,Riley Greene,MLB,OF,1,$1.00,@,,25976,42179
238,Structure Fire,Lars Nootbaar,MLB,OF,1,$1.00,,,21454,4448736
239,Structure Fire,Jordan Hicks,MLB,SP,1,$1.00,,,19618,37909
240,FA,Michael Wacha,MLB,SP,1,$1.00,,,14078,32640
241,Structure Fire,Garrett Whitlock,MLB,SP,1,40%,¹,,20191,39674
242,Structure Fire,Josiah Gray,MLB,SP,1,40%,¹,,24580,41165
243,Structure Fire,Shane McClanahan,MLB,SP,1,40%,¹,,21483,41199
244,West Coast Spartans,Corbin Carroll,MLB,OF,1,$1.00,@,,25878,42404
245,West Coast Spartans,Griffin Canning,MLB,SP,1,$1.00,@,,19867,41065
246,West Coast Spartans,Reid Detmers,MLB,SP,1,40%,¹,,27468,4326697
247,Young Bucks,Michael King,MLB,SP,1,$4.15,,,19853,40429
248,Young Bucks,Brandon Pfaadt,MLB,SP,1,$1.00,@,,27782,4721302
249,Young Bucks,Brayan Bello,MLB,SP,1,$1.00,@,,23920,4720856
250,Springfield Zephyrs,Bryson Stott,MLB,2B,1,$1.00,@,,26294,42417
251,Ryno World,Vaughn Grissom,MLB,2B,1,$2.10,,,26031,42503
252,Orlando Renegades,Cedric Mullins,MLB,OF,1,$1.05,,,17929,35578
253,Midtown Jaguars,Joe Musgrove,MLB,SP,1,$9.70,,,12970,34848
254,Midtown Jaguars,Nolan Arenado,MLB,3B,1,$3.55,,,9777,31261
255,Midtown Jaguars,Jordan Montgomery,MLB,SP,1,$3.00,,,16511,38173
256,Midtown Jaguars,Braxton Garrett,MLB,SP,1,$2.05,,,21844,40971
257,Midtown Jaguars,Jazz Chisholm,MLB,2B,1,40%,¹,,20454,41433
258,Midtown Jaguars,Keibert Ruiz,MLB,C,1,40%,¹,,19610,38827
259,Midtown Jaguars,Seiya Suzuki,MLB,OF,1,40%,¹,,30116,4142424
260,Midtown Jaguars,Vinnie Pasquantino,MLB,1B,1,$1.00,@,,27676,4109109
261,Midtown Jaguars,Hunter Brown,MLB,SP,1,$1.00,@,,25880,4717803
262,Orlando Renegades,Yordan Alvarez,MLB,OF,1,80%,³,,19556,36018
263,Orlando Renegades,Jordan Westburg,MLB,2B,1,$1.00,,,27815,4298641
264,Ryno World,Max Scherzer,MLB,SP,1,$1.00,,,3137,28976
265,Orlando Renegades,Andrew Vaughn,AAA,1B,1,$-,@,,26197,42394
266,Orlando Renegades,Sean Murphy,MLB,C,1,80%,³,,19352,33557
267,Ryno World,Triston McKenzie,MLB,SP,1,$2.90,,,18000,34954
268,Ryno World,Rhys Hoskins,MLB,1B,1,$2.69,,,16472,35291
269,Ryno World,Jack Flaherty,MLB,SP,1,$2.05,,,17479,33837
270,Ryno World,Jose Miranda,MLB,3B,1,$1.00,@,,20538,41000
271,Ryno World,George Kirby,MLB,SP,1,$1.00,@,,25436,42406
272,Ryno World,Michael Kopech,MLB,RP,1,$1.00,@,,17282,33763
273,FA,Mitchell Parker,MLB,SP,1,$1.00,,,27636,
274,FA,Clayton Kershaw,MLB,SP,1,$1.00,,,2036,28963
275,FA,Merrill Kelly,MLB,SP,1,$1.00,,,11156,32968
276,FA,Jonah Heim,MLB,C,1,$1.00,,,16930,33842
277,FA,Aaron Judge,MLB,OF,1,$1.00,,,15640,33192
278,FA,Shohei Ohtani,MLB,DH,1,$1.00,,,19755,39832
279,FA,Shohei Ohtani,MLB,DH,1,$1.00,,,19755,39832
280,FA,Marcell Ozuna,MLB,DH,1,$1.00,,,10324,31668
281,FA,Joey Meneses,MLB,DH,1,$1.00,,,14366,34534
282,FA,Willson Contreras,MLB,C,1,$1.00,,,11609,32532
283,FA,William Contreras,MLB,C,1,$1.00,,,20503,39895
284,FA,Will Smith,MLB,C,1,$1.00,,,8048,31549
285,FA,Will Smith,MLB,C,1,$1.00,,,19197,38309
286,FA,Salvador Perez,MLB,C,1,$1.00,,,7304,31127
287,FA,Patrick Bailey,MLB,C,1,$1.00,,,27478,4345843
288,FA,Mitch Garver,MLB,C,1,$1.00,,,15161,33667
289,FA,Connor Wong,MLB,C,1,$1.00,,,19896,40086
290,FA,Otto Lopez,MLB,OF,1,$1.00,,,19608,41917
291,FA,Cal Raleigh,MLB,C,1,$1.00,,,21534,41292
292,FA,Ben Rice,MLB,C,1,$1.00,,,29576,
293,FA,Yoan Moncada,MLB,3B,1,$1.00,,,17232,33984
294,FA,Tyler Freeman,MLB,3B,1,$1.00,,,22532,40958
295,FA,Max Muncy,MLB,3B,1,$1.00,,,13301,33303
296,FA,Mark Vientos,MLB,3B,1,$1.00,,,22184,41034
297,FA,Jose Ramirez,MLB,3B,1,$1.00,,,13510,32801
298,FA,Jose Ramirez,MLB,3B,1,$1.00,,,10171,32603
299,FA,Jake Burger,MLB,3B,1,$1.00,,,22275,39882
300,FA,Isaac Paredes,MLB,3B,1,$1.00,,,20036,39706
301,FA,Anthony Rendon,MLB,3B,1,$1.00,,,12861,32098
302,FA,Adalberto Mondesi,MLB,3B,1,$1.00,,,13769,32821
303,FA,Anthony Santander,MLB,OF,1,$1.00,,,14551,36084
304,FA,Austin Meadows,MLB,OF,1,$1.00,,,15672,33197
305,FA,Brendan Donovan,MLB,OF,1,$1.00,,,24679,41773
306,FA,Mike Trout,MLB,OF,1,$1.00,,,10155,30836
307,Cheating Raiders,Austin Riley,MLB,3B,1,60%,²,,18360,34982
308,FA,Max Kepler,MLB,OF,1,$1.00,,,12144,31870
309,FA,Masataka Yoshida,MLB,OF,1,$1.00,,,31837,4872598
310,FA,Mark Canha,MLB,OF,1,$1.00,,,11445,31670
311,FA,Lane Thomas,MLB,OF,1,$1.00,,,16939,36409
312,FA,Kyle Schwarber,MLB,OF,1,$1.00,,,16478,33712
313,FA,Jurickson Profar,MLB,OF,1,$1.00,,,10815,31117
314,FA,Jorge Soler,MLB,OF,1,$1.00,,,14221,32558
315,Bayou Shooters,Jonathan India,MLB,2B,1,60%,²,,21523,41171
316,Bayou Shooters,Gavin Lux,MLB,SS,1,60%,²,,19955,40423
317,Bayou Shooters,MJ Melendez,MLB,OF,1,$1.00,@,,22197,40948
318,Bayou Shooters,Chris Paddack,MLB,SP,1,$1.00,,,20099,35999
319,Bayou Shooters,Mike Soroka,MLB,SP,1,$1.00,,,18383,34984
320,FA,Jesus Sanchez,MLB,OF,1,$1.00,,,19913,39957
321,FA,George Springer,MLB,OF,1,$1.00,,,12856,32078
322,FA,David Fry,MLB,OF,1,$1.00,,,24934,
323,FA,Christian Yelich,MLB,OF,1,$1.00,,,11477,31283
324,FA,Chas McCormick,MLB,OF,1,$1.00,,,19599,40574
325,FA,Bryan Reynolds,MLB,OF,1,$1.00,,,19326,38980
326,FA,Brenton Doyle,MLB,OF,1,$1.00,,,25479,42462
327,FA,Ozzie Albies,MLB,2B,1,$1.00,,,16556,33783
328,FA,Gleyber Torres,MLB,2B,1,$1.00,,,16997,33804
329,Dip City Thunder,Jarren Duran,MLB,OF,1,$1.00,@,,24617,41610
330,Dip City Thunder,Spencer Steer,MLB,1B,1,$1.00,@,,26323,4722857
331,Dip City Thunder,Jeremy Pena,MLB,SS,1,40%,¹,,21636,41273
332,Dip City Thunder,Julio Rodriguez,MLB,OF,1,40%,¹,,23697,41044
333,Cheating Raiders,Dylan Cease,MLB,SP,1,60%,²,,18525,34943
334,Cheating Raiders,Logan Gilbert,MLB,SP,1,40%,¹,,22250,41221
335,Cheating Raiders,Tarik Skubal,MLB,SP,1,40%,¹,,22267,42409
336,Cheating Raiders,Adolis Garcia,MLB,OF,1,$6.40,,,19287,35537
337,Cheating Raiders,Cody Bellinger,MLB,OF,1,$1.50,,,15998,33912
338,Detroit Nittany Tide,Nick Lodolo,MLB,SP,1,$1.00,@,,26378,42433
339,Detroit Nittany Tide,Hunter Greene,MLB,SP,1,$1.00,@,,22182,39635
340,Detroit Nittany Tide,Ian Anderson,MLB,SP,1,60%,²,,19951,40916
341,Detroit Nittany Tide,Tyler Mahle,MLB,SP,1,$1.85,,,16358,34973
342,Detroit Nittany Tide,Alex Bregman,MLB,3B,1,$6.50,,,17678,34886
343,Cheating Raiders,Adley Rutschman,MLB,C,1,$1.00,@,,26288,42178
344,Country Strong,Roansy Contreras,AAA,SP,1,$1.00,,,22810,40967
345,Country Strong,Josh Jung,MLB,3B,1,$1.00,@,,26299,42437
