NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Kris Bryant,COL,OF/1B,33.0,Ryno World,0,AAA opt,23.0,240.0,263.0,2.7,-156.89999999999998,0.0
Alex Verdugo,,OF,29.0,Bayou Shooters,1,80%,-79.0,338.0,259.0,2.92,-160.89999999999998,0.0
Jhonkensy Noel,CLE,OF,,FA,,,-73.0,326.0,253.0,2.66,-166.89999999999998,0.0
Leody Taveras,TEX,OF,,FA,,,11.0,240.0,251.0,2.77,-168.89999999999998,0.0
Andy Pages,LAD,OF,24.0,Orlando Renegades,U,$-,29.0,215.0,244.0,2.97,-175.89999999999998,0.0
Pavin Smith,ARI,OF/1B,,FA,,,49.0,191.0,240.0,2.68,-179.89999999999998,0.0
Seth Brown,ATH,OF/1B,,FA,,,-71.0,311.0,240.0,2.7,-179.89999999999998,0.0
Kyle Stowers,MIA,OF,,FA,,,-114.0,351.0,237.0,2.39,-182.9,0.0
Wenceel Perez,DET,OF,,FA,,,-37.0,274.0,237.0,2.81,-182.9,0.0
Harrison Bader,MIN,OF,,FA,,,-20.0,250.0,230.0,2.65,-189.9,0.0
Mauricio Dubon,HOU,2B/OF/1B,,FA,,,-48.0,275.0,227.0,2.32,-192.9,0.0
Mickey Moniak,LAA,OF,27.0,Detroit Nittany Tide,2,$1.00,-92.0,316.0,224.0,2.72,-195.9,0.0
Jason Heyward,SDP,OF,,FA,,,-15.0,238.0,223.0,2.52,-196.9,0.0
Hunter Goodman,COL,C/OF,,FA,,,-1.0,221.0,220.0,2.75,-199.9,0.0
Alek Thomas,ARI,OF,,FA,,,39.0,180.0,219.0,2.58,-200.9,0.0
Richie Palacios,TBR,2B/OF,,FA,,,-36.0,255.0,219.0,2.71,-200.9,0.0
Starling Marte,NYM,OF,,FA,,,-61.0,276.0,215.0,2.99,-204.9,0.0
Jerar Encarnacion,SFG,OF,,FA,,,12.0,201.0,213.0,2.76,-206.9,0.0
Johan Rojas,PHI,OF,,FA,,,-58.0,270.0,212.0,2.57,-207.9,0.0
Kristian Campbell,BOS,2B/OF/SS,,FA,,,107.0,103.0,210.0,3.09,-209.9,0.0
Tyrone Taylor,NYM,OF,,FA,,,115.0,93.0,208.0,2.54,-211.9,0.0
Miguel Andujar,ATH,OF,30.0,Young Bucks,2,$1.00,32.0,174.0,206.0,2.68,-213.9,0.0
Griffin Conine,MIA,OF,,FA,,,-95.0,298.0,203.0,2.44,-216.9,0.0
Randal Grichuk,ARI,OF,,FA,,,-18.0,216.0,198.0,2.76,-221.9,0.0
Mitch Haniger,SEA,OF,,FA,,,-23.0,221.0,198.0,2.45,-221.9,0.0
Will Brennan,CLE,OF,,FA,,,-35.0,230.0,195.0,2.46,-224.9,0.0
Jarred Kelenic,ATL,OF,25.0,Cheating Raiders,2,$1.00,14.0,179.0,193.0,2.85,-226.9,0.0
Ramon Laureano,BAL,OF,,FA,,,-70.0,260.0,190.0,2.73,-229.9,0.0
Tirso Ornelas,SDP,OF,,FA,,,112.0,77.0,189.0,2.54,-230.9,0.0
Connor Joe,SDP,OF/1B,32.0,FA,1,$1.00,4.0,184.0,188.0,2.56,-231.9,0.0
Chris Taylor,LAD,2B/OF/3B,,FA,,,1.0,185.0,186.0,2.58,-233.9,0.0
Will Benson,CIN,OF,,FA,,,-10.0,192.0,182.0,2.77,-237.9,0.0
Derek Hill,MIA,OF,,FA,,,-91.0,263.0,172.0,2.57,-247.9,0.0
Rob Refsnyder,BOS,OF,,FA,,,28.0,143.0,171.0,2.68,-248.9,0.0
Blake Perkins,MIL,OF,,FA,,,-109.0,280.0,171.0,2.64,-248.9,0.0
Mark Canha,MIL,OF/1B,36.0,FA,1,$1.00,34.0,135.0,169.0,2.61,-250.9,0.0
Davis Schneider,TOR,2B/OF,,FA,,,-48.0,217.0,169.0,2.73,-250.9,0.0
Dane Myers,MIA,OF,,FA,,,-36.0,205.0,169.0,2.4,-250.9,0.0
Bryan De La Cruz,ATL,OF,,FA,,,65.0,103.0,168.0,2.74,-251.9,0.0
Trent Grisham,NYY,OF,,FA,,,28.0,140.0,168.0,2.58,-251.9,0.0
Stuart Fairchild,CIN,OF,,FA,,,31.0,136.0,167.0,2.5,-252.9,0.0
Sam Hilliard,COL,OF,,FA,,,-30.0,191.0,161.0,2.59,-258.9,0.0
Alex Call,WSN,OF,,FA,,,-12.0,172.0,160.0,2.63,-259.9,0.0
Adam Frazier,PIT,2B/OF,,FA,,,75.0,83.0,158.0,2.25,-261.9,0.0
Victor Scott II,STL,OF,24.0,West Coast Spartans,U,$-,-51.0,208.0,157.0,2.5,-262.9,0.0
Austin Slater,CHW,OF,,FA,,,-58.0,213.0,155.0,2.3,-264.9,0.0
Eddie Rosario,LAD,OF,,FA,,,95.0,60.0,155.0,2.23,-264.9,0.0
Dairon Blanco,KCR,OF,,FA,,,-4.0,158.0,154.0,2.59,-265.9,0.0
Amed Rosario,WSN,2B/OF,29.0,FA,1,$1.00,13.0,141.0,154.0,2.59,-265.9,0.0
Carlos Rodriguez,MIL,OF,,FA,,,12.17,34.0,46.17,4.9,-279.76899999999995,0.0
Michael Siani,STL,OF,,FA,,,-87.0,226.0,139.0,2.09,-280.9,0.0
David Peralta,,OF,,FA,,,-19.0,156.0,137.0,2.35,-282.9,0.0
Jacob Melton,HOU,OF,,FA,,,68.0,68.0,136.0,2.7,-283.9,0.0
Adam Duvall,,OF,,FA,,,-32.0,167.0,135.0,2.5,-284.9,0.0
Tyler Freeman,CLE,OF,26.0,FA,1,$1.00,50.0,85.0,135.0,2.49,-284.9,0.0
Esteury Ruiz,ATH,OF,26.0,Dip City Thunder,U,$-,-22.0,148.0,126.0,2.9,-293.9,0.0
Sean Bouchard,COL,OF,,FA,,,-52.0,177.0,125.0,2.71,-294.9,0.0
Luis Matos,SFG,OF,23.0,Country Strong,U,$-,-74.0,199.0,125.0,2.46,-294.9,0.0
Michael A. Taylor,CHW,OF,,FA,,,-56.0,179.0,123.0,2.28,-296.9,0.0
Ben Gamel,HOU,OF,,FA,,,58.0,63.0,121.0,2.32,-298.9,0.0
Whit Merrifield,,2B/OF,36.0,Ryno World,0,AAA opt,-30.0,150.0,120.0,2.71,-299.9,0.0
Zac Veen,COL,OF,,Ryno World,8,$1.00,61.0,54.0,115.0,2.83,-304.9,0.0
Colby Thomas,ATH,OF,,FA,,,52.0,59.0,111.0,2.68,-308.9,0.0
Garrett Hampson,ARI,2B/OF,,FA,,,56.0,55.0,111.0,1.42,-308.9,0.0
Javier Sanoja,MIA,OF/SS,,FA,,,28.0,83.0,111.0,2.28,-308.9,0.0
Oscar Colas,CHW,OF,26.0,Ryno World,U,$-,-33.0,141.0,108.0,2.28,-311.9,0.0
Dalton Rushing,LAD,C/OF,,FA,,,-45.0,150.0,105.0,2.15,-314.9,0.0
Austin Martin,MIN,OF,26.0,Detroit Nittany Tide,2,$1.00,-104.0,207.0,103.0,2.34,-316.9,0.0
Jack Suwinski,PIT,OF,26.0,Orlando Renegades,0,AAA opt,-40.0,143.0,103.0,2.81,-316.9,0.0
Joshua Palacios,PIT,OF,,FA,,,13.0,87.0,100.0,2.43,-319.9,0.0
Justyn-Henry Malloy,DET,OF,25.0,Cheating Raiders,U,$-,-121.0,214.0,93.0,2.58,-326.9,0.0
Joey Loperfido,TOR,OF,,FA,,,1.0,91.0,92.0,2.41,-327.9,0.0
Robbie Grossman,,OF,,FA,,,-37.0,129.0,92.0,2.4,-327.9,0.0
Billy Cook,PIT,OF/1B,,FA,,,19.0,73.0,92.0,2.61,-327.9,0.0
Daniel Schneemann,CLE,OF/SS,,FA,,,-198.0,289.0,91.0,2.31,-328.9,0.0
Angel Martinez,CLE,OF,,FA,,,11.0,80.0,91.0,2.57,-328.9,0.0
Addison Barger,TOR,OF/3B,25.0,Detroit Nittany Tide,U,$-,23.0,68.0,91.0,2.47,-328.9,0.0
Joey Wiemer,KCR,OF,,FA,,,50.0,40.0,90.0,2.03,-329.9,0.0
Nick Gordon,BAL,OF,,FA,,,35.0,54.0,89.0,1.85,-330.9,0.0
Grant McCray,SFG,OF,,FA,,,19.0,67.0,86.0,2.58,-333.9,0.0
DJ Stewart,PIT,OF,,FA,,,-7.0,92.0,85.0,2.23,-334.9,0.0
Dylan Carlson,BAL,OF,26.0,Structure Fire,4,$2.15,32.0,53.0,85.0,2.33,-334.9,0.0
Jake Mangum,TBR,OF,,FA,,,46.0,38.0,84.0,2.45,-335.9,0.0
Drew Waters,KCR,OF,,FA,,,-150.0,232.0,82.0,2.6,-337.9,0.0
Johnathan Rodriguez,CLE,OF,,FA,,,39.0,41.0,80.0,2.45,-339.9,0.0
Dominic Canzone,SEA,OF,,FA,,,-95.0,175.0,80.0,2.4,-339.9,0.0
James Outman,LAD,OF,28.0,Structure Fire,2,$2.70,-18.0,96.0,78.0,2.6,-341.9,0.0
Corey Julks,CHW,OF,,FA,,,35.0,38.0,73.0,1.9,-346.9,0.0
Chase DeLauter,CLE,OF,,Country Strong,U,$-,-45.0,117.0,72.0,2.81,-347.9,0.0
Gavin Sheets,SDP,OF/1B,,FA,,,-170.0,242.0,72.0,2.24,-347.9,0.0
Alan Roden,TOR,OF,,FA,,,23.0,46.0,69.0,2.69,-350.9,0.0
Kevin Pillar,TEX,OF,,FA,,,-29.0,98.0,69.0,2.54,-350.9,0.0
Ji Hwan Bae,PIT,OF,,FA,,,-43.0,108.0,65.0,2.49,-354.9,0.0
Weston Wilson,PHI,OF,,FA,,,1.0,64.0,65.0,2.48,-354.9,0.0
Taylor Trammell,HOU,OF,,FA,,,-27.0,89.0,62.0,1.89,-357.9,0.0
Everson Pereira,NYY,OF,,FA,,,-60.0,119.0,59.0,2.77,-360.9,0.0
Dominic Fletcher,CHW,OF,,FA,,,-166.0,224.0,58.0,2.05,-361.9,0.0
Nathan Lukes,TOR,OF,,FA,,,-10.0,68.0,58.0,2.24,-361.9,0.0
Daz Cameron,BAL,OF,,FA,,,-6.0,63.0,57.0,1.84,-362.9,0.0
Manuel Margot,MIL,OF,,FA,,,-48.0,105.0,57.0,2.45,-362.9,0.0
DaShawn Keirsey Jr.,MIN,OF,,FA,,,-64.0,119.0,55.0,2.24,-364.9,0.0
Chandler Simpson,TBR,OF,,FA,,,54.0,0.0,54.0,3.02,-365.9,0.0
Myles Straw,TOR,OF,,FA,,,19.0,31.0,50.0,1.65,-369.9,0.0
Travis Jankowski,CHW,OF,,FA,,,-11.0,60.0,49.0,1.97,-370.9,0.0
Emmanuel Rodriguez,MIN,OF,,Dip City Thunder,U,$-,-66.0,108.0,42.0,2.8,-377.9,0.0
Robert Hassell III,WSN,OF,,Structure Fire,U,$-,8.0,33.0,41.0,2.18,-378.9,0.0
Cal Stevenson,PHI,OF,,FA,,,-4.0,45.0,41.0,2.14,-378.9,0.0
Victor Mesa Jr.,MIA,OF,,FA,,,40.0,0.0,40.0,2.35,-379.9,0.0
Greg Jones,COL,OF,,FA,,,-7.0,46.0,39.0,1.59,-380.9,0.0
Rece Hinds,CIN,OF,,FA,,,-9.0,47.0,38.0,1.55,-381.9,0.0
Eli White,ATL,OF,,FA,,,11.0,25.0,36.0,2.04,-383.9,0.0
Denzel Clarke,ATH,OF,,FA,,,-27.0,61.0,34.0,1.61,-385.9,0.0
Kameron Misner,TBR,OF,,FA,,,34.0,0.0,34.0,2.17,-385.9,0.0
Owen Caissie,CHC,OF,,Midtown Jaguars,U,$-,-48.0,82.0,34.0,2.6,-385.9,0.0
Kevin Alcantara,CHC,OF,22.0,Detroit Nittany Tide,U,$-,-6.0,39.0,33.0,2.39,-386.9,0.0
David Hensley,DET,OF,,FA,,,33.0,0.0,33.0,1.55,-386.9,0.0
Jorge Barrosa,ARI,OF,,FA,,,-54.0,87.0,33.0,2.01,-386.9,0.0
Brandon Lockridge,SDP,OF,,FA,,,-13.0,44.0,31.0,1.8,-388.9,0.0
Alexander Canario,NYM,OF,,FA,,,-17.0,48.0,31.0,2.18,-388.9,0.0
Michael Helman,STL,OF/SS,,FA,,,-15.0,46.0,31.0,1.69,-388.9,0.0
Jonatan Clase,TOR,OF,,FA,,,-53.0,82.0,29.0,2.48,-390.9,0.0
Tyler Gentry,KCR,OF,,FA,,,-9.0,37.0,28.0,1.88,-391.9,0.0
Stone Garrett,WSN,OF,,FA,,,-26.0,53.0,27.0,2.19,-392.9,0.0
Bryce Johnson,PIT,OF,,FA,,,-12.0,38.0,26.0,1.03,-393.9,0.0
Pedro Leon,HOU,OF,,FA,,,-90.0,114.0,24.0,2.56,-395.9,0.0
Wade Meckler,SFG,OF,,FA,,,-220.0,243.0,23.0,2.4,-396.9,0.0
Akil Baddoo,DET,OF,,FA,,,-67.0,88.0,21.0,2.01,-398.9,0.0
Cooper Bowman,ATH,2B/OF,,FA,,,-25.0,45.0,20.0,2.32,-399.9,0.0
Zach DeLoach,CHW,OF,,FA,,,-34.0,54.0,20.0,1.81,-399.9,0.0
Blake Dunn,CIN,OF,,FA,,,-27.0,46.0,19.0,1.85,-400.9,0.0
Jacob Hurtubise,CIN,OF,,FA,,,0.0,18.0,18.0,2.11,-401.9,0.0
Jahmai Jones,DET,OF,,FA,,,-22.0,39.0,17.0,1.84,-402.9,0.0
Darren Baker,WSN,2B/OF,,FA,,,-16.0,32.0,16.0,2.0,-403.9,0.0
Dustin Harris,TEX,OF,25.0,Bayou Shooters,U,$-,-9.0,25.0,16.0,2.38,-403.9,0.0
Edward Olivares,,OF,,FA,,,16.0,0.0,16.0,1.96,-403.9,0.0
Brewer Hicklen,MIL,OF,,FA,,,-30.0,45.0,15.0,1.98,-404.9,0.0
Cooper Hummel,HOU,OF/1B,,FA,,,0.0,15.0,15.0,1.9,-404.9,0.0
Oscar Gonzalez,SDP,OF,,FA,,,-64.0,79.0,15.0,2.36,-404.9,0.0
Isaac Collins,MIL,OF,,FA,,,-27.0,41.0,14.0,1.75,-405.9,0.0
Matt Koperniak,STL,OF,,FA,,,-21.0,35.0,14.0,2.26,-405.9,0.0
